date,days,mag
2444520.389,1243,8.36
2444521.7,1244,9.5
2444522.3,1245,8.4
2444524.708,1246,8.34
2444525.305,1247,8.64
2444527.676,1248,8.34
2444531.301,1249,8.07
2444531.343,1250,8.32
2444532.3,1251,8.2
2444536.373,1252,8.23
2444541.3,1253,8.3
2444541.6,1254,9
2444541.728,1255,8.17
2444542.525,1256,7.9
2444544.481,1257,8.23
2444544.7,1258,8.9
2444545.7,1259,9.2
2444546.523,1260,7.93
2444546.7,1261,8.8
2444551.729,1262,8.32
2444554.33,1263,8.09
2444555.53,1264,8.52
2444555.572,1265,7.81
2444555.687,1266,8.4
2444556.5,1267,8.8
2444562.33,1268,8.36
2444569.447,1269,8.11
2444569.7,1270,8.5
2444570.259,1271,8.22
2444570.3,1272,8.2
2444570.335,1273,8.17
2444573.445,1274,8.4
2444575.3,1275,8.2
2444578.319,1276,8.09
2444580.26,1277,8.42
2444580.517,1278,7.81
2444580.7,1279,9.3
2444581.34,1280,8.61
2444582.3,1281,8.2
2444586.2,1282,8.1
2444587.428,1283,8.18
2444590.2,1284,7.9
2444590.6,1285,8.1
2444591.358,1286,8.23
2444592.437,1287,8.26
2444592.479,1288,7.9
2444595.2,1289,8
2444595.448,1290,8.13
2444599.3,1291,8
2444599.372,1292,7.81
2444601.312,1293,8.09
2444605.8,1294,9.3
2444606.6,1295,9.2
2444609.439,1296,8.11
2444609.501,1297,7.81
2444610.2,1298,8
2444611.5,1299,8.17
2444614.435,1300,8.31
2444614.444,1301,8.09
2444617.326,1302,8.31
2444617.503,1303,7.81
2444618.2,1304,7.8
2444620.332,1305,8.31
2444620.357,1306,7.9
2444620.6,1307,9.1
2444625.3,1308,8
2444629.295,1309,7.9
2444630.318,1310,8.26
2444634.3,1311,8
2444634.322,1312,8.4
2444634.6,1313,8.8
2444637.303,1314,8.41
2444637.393,1315,8.58
2444637.486,1316,7.81
2444637.49,1317,8.41
2444638.3,1318,7.8
2444638.7,1319,9.1
2444640.382,1320,8.43
2444640.444,1321,8.42
2444645.493,1322,7.85
2444647.3,1323,8
2444648.315,1324,8.22
2444650.333,1325,7.81
2444652.31,1326,8.14
2444656.408,1327,8.25
2444662.6,1328,8.6
2444664.3,1329,8
2444664.403,1330,8.42
2444664.42,1331,8.29
2444665.6,1332,9.3
2444675.3,1333,8
2444676.402,1334,7.9
2444678.324,1335,8.42
2444681.324,1336,8.3
2444681.337,1337,8.41
2444685.3,1338,8.1
2444687.6,1339,8.5
2444690.326,1340,8.34
2444692.306,1341,8.26
2444692.326,1342,7.9
2444692.608,1343,8.29
2444693.326,1344,8.37
2444694.3,1345,8
2444697.323,1346,7.9
